w,cat,d,hint,ex,alt,status
ANKARA,Owambe,2,Bright wax-print fabric,She sew new ___ gown for the party,,live
AGBADA,Owambe,2,Flowing three-piece robe for the men,Uncle wear white ___ come the wedding,,live
ALAGA,Owambe,2,The MC-hostess running the engagement,___ collect the list before the ceremony start,,live
OWAMBE,Owambe,3,"Big Saturday party, aso ebi compulsory",We get three ___ this weekend,,live
ASOEBI,Owambe,3,Matching fabric the guests all wear,The ___ this year cost like gold,,live
ASOOKE,Owambe,3,Hand-woven Yoruba ceremonial cloth,The bride ___ na family heirloom,,live
NAIRA,Naija,1,"The currency, always under pressure",___ don fall against dollar again,,live
KOBO,Naija,1,The coin nobody uses anymore,E no get even one ___ for hand,,live
NEPA,Naija,1,'They have taken the light',___ don carry light since morning,PHCN,live
BUKA,Naija,1,Cheap local eatery,Lunch na that ___ behind office,BUKATERIA,live
OPAY,Naija,2,Fintech app for transfers and airtime,Send the money go my ___ account,,live
JAND,Naija,2,"The UK, or abroad in general",Him people dey ___ since 2010,,live
TOKUNBO,Naija,3,"Foreign-used, especially cars",Him buy ___ Camry from the wharf,,live
HARMATTAN,Naija,3,"The dry dusty season, cracked lips","___ don come, rub cream well well",HAMATTAN,live
OKRIKA,Market,2,Imported second-hand clothing,This ___ jean strong pass new one,,live
DERICA,Market,2,The tin cup used to measure rice and beans,Give me three ___ of beans,,live
BALOGUN,Market,2,Lagos Island market for fabric,I buy the lace for ___ market,,live
OYINGBO,Market,3,"Mainland market, sells everything",___ price better pass supermarket,,live
ONITSHA,Market,3,"South-east city, one of Africa's biggest markets",Spare parts? Na ___ dem dey get am,,live
JUJU,Sound,1,Guitar-and-talking-drum style of King Sunny Ade,Elders still love ___ music for party,,live
FUJI,Sound,1,"Percussion-heavy style, Barrister and Kwam 1",___ dey wake the whole street on Sunday,,live
APALA,Sound,2,Older Yoruba drum-and-vocal style,___ come before fuji,,live
HIGHLIFE,Sound,3,"Horns and guitar dance music, big in the east",Osadebe ___ still dey sweet,,live
AFROBEATS,Sound,3,The modern Naija pop sound taking over the world,___ dey every chart now,AFROBEAT,live
DODO,Chop,1,Fried ripe plantain,Rice without ___ no complete,,live
OKRO,Chop,1,The slimy 'draw' soup,___ soup with plenty seafood,OKRA,live
PURE,Streets,1,Sachet water sold in traffic,"Buy ___ water, my throat dry",,live
JARE,Pidgin,1,"Softens a statement, 'please now'",Leave me ___,,live
KOLO,Gist,1,"Crazy, gone in the head",This heat go make person ___,,live
GENG,Gist,1,"'Agreed', or your crew","We dey together, ___!",,live
WAKA,Gist,1,"To walk, or 'get lost'",___! I no send you,,live
GBESE,Gist,1,"Debt, money wahala",Him don enter ___ with that deal,,live
TUALE,Owambe,1,A shout of hail and respect,___! The big man don enter,,live
OYINBO,Gist,2,A white person or foreigner,The ___ dey learn how to dance,OYIBO,live
ALAYE,Gist,2,"Street-smart guy, a boss","Big ___, how far now?",,live
MAGA,Gist,2,A scam victim,The ___ don pay the money,MUGU,live
YAHOO,Gist,2,Internet fraud,Him dey do ___ since school,,live
SHAYO,Owambe,2,Heavy drinking,After the wedding na pure ___,,live
KABASH,Naija,2,"To pray hard, in tongues",Choir dey ___ for the corner,,live
BRODA,Pidgin,2,"Brother, a term of address","___, abeg help me hold this",,live
KOBOKO,Streets,2,The horsewhip,Soldier flog am with ___,,live
CHINCHIN,Chop,2,Crunchy fried pastry cubes,Pack ___ for the party bag,CHINCHIN,live
KILISHI,Chop,2,"Dried spiced meat, northern jerky",Buy ___ from the mallam,,live
AGIDI,Chop,2,Cornmeal jelly for stew,___ and moin moin dey go together,EKO,live
EWEDU,Chop,2,The jute-leaf 'draw' soup,Amala and ___ na Ibadan special,,live
KUNU,Chop,2,Millet or tigernut drink,Cold ___ for the afternoon heat,KUNUN,live
UGBA,Chop,2,Oil-bean slivers in the salad,Add plenty ___ for the abacha,,live
BOLEKAJA,Streets,3,The old 'jump down and fight' wooden bus,___ don disappear from the roads,,live
ORISIRISI,Owambe,3,"Assorted, a spread of varieties",The buffet get ___,,live
GBAGAUN,Gist,3,A grammar blunder,Him tweet full of ___,,live
AGBALUMO,Chop,3,"African star apple, sweet and sour",___ season don start,UDARA,live
OFADA,Chop,3,Local unpolished rice with green stew,___ rice and designer stew,,live
AYAMASE,Chop,3,The fiery green-pepper stew,___ go clear your sinus,,live
OGOGORO,Naija,3,"Local gin, very strong",One shot of ___ go warm you,KAIKAI,live
PALMWINE,Naija,3,Fresh sap tapped from the palm,Cold ___ straight from the bush,,live
ISIEWU,Chop,3,Goat-head pepper delicacy,Order ___ for the bar,,live
OKPA,Chop,3,"Steamed Bambara-nut pudding, Enugu staple",Morning ___ from the woman for junction,,live
SUFFERHEAD,Gist,3,"Chronic, grinding hardship (Fela's word)",Him dey sing about ___,,live
AMALA,Chop,2,Dark-brown yam-flour swallow,,,live
FUFU,Chop,1,"Cassava swallow, soft and stretchy",,FOOFOO,live
NSALA,Chop,3,White pepper soup from the east,,OFENSALA,live
BANGA,Chop,2,"Palm-fruit soup, Delta style",,,live
UZIZA,Chop,3,Peppery leaf and seed for soups,,,live
ASARO,Chop,2,"Yam pottage, everything in one pot",,,live
GBEGIRI,Chop,3,"Smooth bean soup, pairs with ewedu",,,live
EFORIRO,Chop,3,"Fried vegetable stew, Yoruba style",,EFO,live
DUNDUN,Chop,2,Fried yam slices,,,live
BOLI,Chop,1,Roasted plantain from the roadside,,,live
KULIKULI,Chop,3,Hard groundnut snack twists,,,live
KOKORO,Chop,2,Crunchy fried corn-stick snack,,,live
AKAMU,Chop,2,Fermented corn pap,,OGI,live
BURUKUTU,Chop,3,Millet beer from the north,,,live
SHAWARMA,Chop,2,"Wrap from the street stand, a Lagos night staple",,,live
CRAYFISH,Chop,2,"Ground dried shrimp, in nearly every soup",,,live
CATFISH,Chop,1,Point-and-kill for the pepper soup,,,live
OKPOROKO,Chop,3,"Stockfish, prized in Igbo soups",,PANLA,live
DAWADAWA,Chop,3,Fermented locust-bean seasoning,,IRU|OGIRI,live
ATARODO,Chop,3,"Scotch bonnet, the real heat",,RODO,live
PEPPERSOUP,Chop,3,Hot clear broth for cold nights,,,live
GOATMEAT,Chop,2,The default meat for pepper soup,,,live
PARIWO,Gist,2,"Noise, a loud scene",,,live
ODOGWU,Gist,2,"A big man, a heavyweight",,,live
JAGAJAGA,Gist,3,"Scattered, in a mess",,,live
KATAKATA,Gist,2,"Chaos, trouble everywhere",,,live
YAWA,Gist,1,Trouble; 'yawa don gas',,,live
GBEGE,Gist,2,Heavy trouble,,,live
OMOGE,Gist,2,A young lady,,,live
TOASTER,Gist,2,A guy chasing a girl,,,live
FORMING,Gist,2,"Pretending, acting up",,,live
YEYE,Gist,1,"Useless, nonsense",,,live
PADDY,Gist,1,A close friend,,PADI,live
KOLOMENTAL,Gist,3,"Completely mad, unhinged",,,live
SCATTER,Gist,2,To wreck it - or dance hard,,,live
HAMMER,Gist,2,"To hit it big, make serious money",,,live
NAWA,Pidgin,1,Expression of wonder; 'nawa o',,,live
YANSH,Pidgin,2,Backside,,,live
BELLE,Pidgin,2,Stomach - or a pregnancy,,,live
FLOG,Pidgin,1,To beat thoroughly,,,live
TAYA,Pidgin,1,"To be tired, fed up",,,live
WELLA,Pidgin,1,"Well done, nicely",,,live
KAMPE,Pidgin,2,"Solid, standing strong",,,live
MARWA,Streets,2,Another name for the keke tricycle,,,live
WHARF,Streets,2,The port where tokunbo cars land,,,live
APAPA,Streets,2,"Lagos port district, tanker country",,,live
OSHODI,Streets,2,"Lagos transport hub, always moving",,,live
YABA,Streets,1,"Lagos mainland district, tech and market",,,live
IKEJA,Streets,1,"Lagos State capital, computer village",,,live
SURULERE,Streets,3,Mainland Lagos district; 'patience pays',,,live
MUSHIN,Streets,2,"Tough, dense Lagos mainland area",,,live
AJEGUNLE,Streets,3,The 'Jungle City' of Lagos,,AJCITY,live
LEKKI,Streets,1,"Lagos peninsula, toll gates and estates",,,live
IKOYI,Streets,1,Old-money Lagos island district,,,live
MARINA,Streets,2,Lagos Island's banking waterfront,,,live
IBADAN,Streets,2,Sprawling city of brown rooftops,,,live
ENUGU,Streets,1,Coal City in the south-east,,,live
CALABAR,Streets,2,South-south city known for its carnival,,,live
KADUNA,Streets,2,Northern city on the river,,,live
HOLDUP,Streets,2,A traffic jam,,GOSLOW,live
POTHOLE,Streets,2,The crater that swallows a tyre,,,live
MONKEYPOST,Streets,3,Street-football goalpost of stones or slippers,,,live
ISIAGU,Owambe,3,Lion-head shirt for Igbo chiefs,,,live
GEORGE,Owambe,2,Rich wrapper fabric for big occasions,,,live
ADIRE,Owambe,2,Indigo tie-and-dye cloth,,,live
SENATOR,Owambe,2,Men's matching top-and-trouser style,,,live
DASHIKI,Owambe,2,Loose embroidered pullover top,,,live
KAFTAN,Owambe,2,"Flowing robe, northern cut",,,live
FILA,Owambe,1,The Yoruba man's cap,,,live
CORAL,Owambe,2,Red beads for chiefs and brides,,,live
COOLER,Owambe,2,The rice container you carry home from a party,,,live
TAKEAWAY,Owambe,2,The pack of party food to go,,,live
ALANTA,Owambe,2,An energetic street dance,,,live
SHOKI,Owambe,1,Once-everywhere dance move,,,live
ZANKU,Owambe,1,Legwork dance; 'legwork',,LEGWORK,live
ALERT,Naija,1,The bank SMS that says money entered,,,live
ESUSU,Naija,2,Rotating group savings,,AJO,live
SAPA,Naija,1,"Sudden, total brokenness",,,live
HUSTLE,Naija,2,The daily grind for money,,,live
ALLAWEE,Naija,3,The small monthly NYSC allowance,,,live
SUBSIDY,Naija,3,The fuel-price cushion that keeps ending,,,live
SCARCITY,Naija,3,When fuel or cash suddenly can't be found,,,live
BLACKOUT,Naija,2,"No light, sometimes for days",,,live
GENERATOR,Naija,3,The machine that hums when NEPA fails,,GEN,live
INVERTER,Naija,3,Battery backup for the blackout,,,live
LANDLORD,Naija,2,Wants two years' rent upfront,,,live
FACEME,Naija,2,Face-me-I-face-you shared-corridor housing,,,live
GATEMAN,Naija,2,"Opens the gate, knows everybody's business",,MAIGUARD,live
BOREHOLE,Naija,2,Private water well when there's no tap,,,live
HAGGLE,Market,2,To price it down hard,,PRICEDOWN,live
CUSTOMER,Market,2,What the trader calls you to reel you in,,,live
CONGO,Market,2,A tin cup used to measure grain,,,live
MUDU,Market,2,A northern measuring bowl for grain,,,live
NYLON,Market,1,The thin plastic bag for your goods,,,live
HAWKER,Market,2,Sells through the car window in traffic,,,live
UMBRELLA,Market,2,Shades the roadside stall,,,live
DISCOUNT,Market,2,'Add something' - what you beg for,,,live
TOPUP,Market,1,"To add airtime, or a bit more of anything",,RECHARGE,live
AMAPIANO,Sound,3,"Log-drum sound from SA, now everywhere here",,,live
ALUJO,Sound,2,Yoruba celebration dance music,,,live
SAKARA,Sound,2,Old Yoruba style with a clay-frame drum,,,live
GANGAN,Sound,2,The talking drum that 'speaks',,,live
SEKERE,Sound,2,Beaded gourd shaker,,SHEKERE,live
OGENE,Sound,2,Igbo metal gong,,,live
KAKAKI,Sound,3,Long metal trumpet of northern royalty,,,live
AGIDIGBO,Sound,3,Big thumb-piano that carries the bass,,,live
NOLLYWOOD,Screen,3,The film industry itself,,,live
KANNYWOOD,Screen,3,Hausa-language cinema out of Kano,,,live
SKIT,Screen,1,Short comedy clip for the internet,,,live
COMEDIAN,Screen,2,Fills the space between owambe performances,,,live
PREMIERE,Screen,2,Red-carpet first screening,,,live
SEQUEL,Screen,2,Part 2 - Nollywood loves them,,,live
BABALAWO,Screen,3,The diviner every village film has,,,live
DIBIA,Screen,2,Igbo medicine man of the movies,,,live
OGBANJE,Screen,3,A child spirit that keeps dying and returning,,ABIKU,live
MAMIWATA,Screen,3,"The water spirit, half woman half fish",,,live
RITUAL,Screen,2,The money plot in half of Nollywood,,,live
MASQUERADE,Screen,3,Ancestral spirit in costume; 'egungun',,EGUNGUN,live
IGWE,Screen,1,The Igbo king on his throne,,,live
PALACE,Screen,2,Where the Igwe hears the village matter,,,live
HALLELUJAH,Faith,3,The Sunday shout of praise,,,live
CRUSADE,Faith,2,Big open-ground gospel gathering,,,live
VIGIL,Faith,2,All-night prayer meeting,,,live
ANOINTING,Faith,3,"Oil, and the power that goes with it",,,live
TITHE,Faith,2,The tenth you bring on Sunday,,,live
TESTIMONY,Faith,3,'This time last year...' at the mic,,,live
MALLAM,Faith,2,A learned man; also the corner kiosk owner,,,live
RAMADAN,Faith,2,The month of fasting,,,live
SALLAH,Faith,2,The festival with rams and new clothes,,,live
TASBIH,Faith,3,Prayer beads counted in the hand,,,live
CHOIR,Faith,1,"Robes, harmonies, the front of the church",,,live
SERMON,Faith,2,The message from the pulpit,,,live
AUNTY,People,1,Any older woman you respect,,,live
UNCLE,People,1,Any older man you respect,,,live
LANDLADY,People,2,The one who owns the compound,,,live
NEIGHBOUR,People,2,Shares your fence and your generator noise,,,live
INLAW,People,1,Family you married into,,,live
COWIFE,People,2,Your husband's other wife,,,live
LASTBORN,People,2,The spoiled one of the house,,,live
UMUNNA,People,3,"The extended kindred, Igbo",,,live
HOUSEBOY,People,2,"Live-in domestic help, male",,,live
STEWARD,People,2,Serves the food and drinks at the event,,,live
APPRENTICE,People,3,Learning a trade under 'oga' for years,,,live
WIDOW,People,1,She wears black and endures the rites,,,live
JAMB,School,1,The exam board between you and university,,,live
WAEC,School,1,The senior secondary certificate exam,,,live
NECO,School,1,The other big secondary exam body,,,live
POSTUTME,School,3,The screening after JAMB,,,live
CARRYOVER,School,3,A failed course you must repeat,,,live
HANDOUT,School,2,Lecture notes you're 'advised' to buy,,,live
LECTURER,School,3,"Sets the exam, signs the result",,,live
HOSTEL,School,2,"Bunk beds, buckets, and no light",,,live
PREFECT,School,2,Student with a whistle and a little power,,,live
ASSEMBLY,School,2,"Morning line-up, anthem and pledge",,,live
UNIFORM,School,2,Same colour for the whole school,,,live
CANE,School,1,The teacher's tool of correction,,,live
TORTOISE,Animal,2,The trickster of every folktale,,MBE|IJAPA,live
AGAMA,Animal,2,Orange-headed wall lizard,,,live
PYTHON,Animal,2,The big snake of the shrine scenes,,,live
BUSHMEAT,Animal,2,"Grasscutter and friends, from the bush",,,live
PERIWINKLE,Animal,3,Little spiral shellfish in the soup,,,live
CAMEL,Animal,1,Beast of the far north,,,live
DONKEY,Animal,2,Carries the load up north,,,live
VULTURE,Animal,2,Circles the abattoir,,,live
COCKROACH,Animal,3,Runs when the light comes on,,,live
MOSQUITO,Animal,2,The reason for the net and the coil,,,live
TERMITE,Animal,2,'Aku' - swarms after the first rain,,AKU,live
CRICKET,Animal,2,Chirps all night in the grass,,,live
CROCODILE,Animal,3,Lurks still in the muddy river,,,live
ANTELOPE,Animal,2,'Nchi' - the swift one of the forest,,,live
BUCKET,Home,1,How you bathe when there's no running water,,,live
BROOM,Home,1,Bundle of palm ribs for sweeping,,,live
PACKER,Home,2,The dustpan for the swept dirt,,,live
KEROSENE,Home,3,Fuel for the stove and the lantern,,,live
LANTERN,Home,2,Light for reading during blackout,,,live
TORCHLIGHT,Home,3,Handheld light for the dark corridor,,,live
AIRTIME,Home,2,Credit for calls and data,,,live
STABILIZER,Home,3,Guards the fridge from voltage swings,,,live
BLENDER,Home,2,Grinds pepper and tomatoes at 6am,,,live
MORTAR,Home,2,Wooden bowl you pound the fufu in,,,live
PESTLE,Home,2,The heavy club that pounds,,,live
FIREWOOD,Home,2,Cooks the big party pots,,,live
COALPOT,Home,2,Charcoal stove for slow cooking,,,live
JERRYCAN,Home,2,Yellow container for fuel or water,,GEEPEE,live
WARDROBE,Home,2,Where the aso ebi is kept,,,live
MATTRESS,Home,2,'Mouka foam' on the floor for guests,,FOAM,live
OGBONO,Chop,2,Wild-mango seed for the drawing soup,,APON,live
AFANG,Chop,3,"Efik vegetable soup, rich and green",,,live
UGWU,Chop,1,"Pumpkin leaf, in the soup and the juice",,,live
OKAZI,Chop,2,"Tough forest leaf, shredded thin",,UKAZI,live
GROUNDNUT,Chop,2,Roasted and sold in bottles by the road,,EPA,live
TIGERNUT,Chop,2,"Chewy tuber, blended into a milk drink",,OFIO,live
PLANTAIN,Chop,2,"Fry it ripe for dodo, roast it green for boli",,,live
COCOYAM,Chop,2,"Thickens the soup, or eaten boiled",,,live
SOURSOP,Chop,2,"Spiky green fruit, soft white inside",,,live
CHAPMAN,Chop,2,Red mocktail with cucumber and bitters,,,live
TATAFO,Gist,2,"A gossip, a busybody",,OFOFO,live
OLOSHI,Gist,2,"An unlucky, jinxed person",,,live
OJORO,Gist,2,Cheating in a game,,,live
SHINE,Gist,1,"To show off, be seen",,,live
BALLING,Gist,2,"Living large, spending free",,,live
AJEBOTA,Gist,3,"Soft, sheltered, city-raised",,AJEBUTTER,live
AJEPAKO,Gist,3,"Streetwise, rough around the edges",,,live
LEVELS,Gist,1,"Status, how far you've come",,,live
SETUP,Gist,1,A staged trap to catch someone,,,live
BLOW,Gist,1,To suddenly become famous or rich,,,live
GBADUN,Pidgin,2,"To enjoy, to vibe with",,,live
YIMU,Pidgin,1,The mouth-twist of disdain,,,live
SHIKENA,Pidgin,2,"That's all, case closed",,,live
OGINI,Pidgin,2,Igbo for 'what is it?',,,live
DRAG,Pidgin,1,"To pull, or to argue over",,,live
ABEOKUTA,Streets,3,"Ogun State capital, city under the rock",,,live
AKURE,Streets,2,Ondo State capital,,,live
OSOGBO,Streets,2,"Osun State capital, the sacred grove",,,live
ILORIN,Streets,2,"Kwara State capital, the gateway",,,live
LOKOJA,Streets,2,Where the Niger and Benue meet,,,live
MAKURDI,Streets,3,Benue State capital on the river,,,live
KATSINA,Streets,2,Ancient northern trading city,,,live
NSUKKA,Streets,2,University town in Enugu State,,,live
UMUAHIA,Streets,3,Abia State capital,,,live
YENAGOA,Streets,3,"Bayelsa State capital, creeks all around",,,live
BADAGRY,Streets,2,"Coastal town, slave-trade history",,,live
IKORODU,Streets,2,Fast-growing Lagos mainland town,,,live
FESTAC,Streets,2,Planned Lagos estate from the '77 festival,,,live
AGEGE,Streets,1,Lagos suburb famous for its bread,,,live
ABAYA,Owambe,2,Long flowing robe for women,,,live
HIJAB,Owambe,1,Headscarf covering the hair and neck,,,live
ILEKE,Owambe,2,Waist beads worn under the wrapper,,,live
OLEKU,Owambe,2,Short-sleeved iro-and-buba style,,,live
SHUKU,Owambe,2,Cornrows gathered up into a crest,,,live
PATEWO,Owambe,2,Cornrows curved to meet in the middle,,,live
DIDI,Owambe,1,Cornrows woven flat to the scalp,,,live
WEAVON,Owambe,2,Hair extension sewn or glued in,,WEAVE,live
BANGLE,Owambe,2,"Stiff bracelet, stacked up the wrist",,,live
EGUNJE,Naija,2,"A bribe, quietly given",,KOLA,live
KOLANUT,Naija,2,Broken and shared to welcome a guest,,,live
DRIZZLE,Naija,2,Light rain that still stops the market,,,live
DOWNPOUR,Naija,2,Heavy rain that floods the road fast,,,live
FLOODING,Naija,2,When the gutter overflows into the house,,,live
GUTTER,Naija,2,The open roadside drain,,,live
EROSION,Naija,2,"Gullies eating the land, big in the south-east",,,live
BALLOT,Naija,2,The paper you thumbprint on election day,,,live
THUMBPRINT,Naija,3,How you mark your choice at the poll,,,live
CHECKPOINT,Naija,3,Where the road is blocked and 'anything for the boys',,,live
PASTOR,Faith,1,"Leads the church, the 'daddy G.O.' of the branch",,,live
PROPHET,Faith,2,"Sees visions, gives words",,,live
BISHOP,Faith,2,Senior clergy over many churches,,,live
REVIVAL,Faith,2,Nights of preaching to stir the church,,,live
FELLOWSHIP,Faith,3,"Mid-week gathering, or a campus group",,,live
HARVEST,Faith,2,The Sunday of pledges and bidding,,,live
JUMMAH,Faith,2,The Friday congregational prayer,,JUMAT,live
MINARET,Faith,3,The tower the call to prayer comes from,,,live
ZAKAT,Faith,2,The alms every Muslim owes yearly,,,live
TUTORIAL,School,3,Extra evening coaching for the exam,,LESSON,live
PROMOTION,School,3,Moving up to the next class,,,live
REGISTRAR,School,3,"Keeps the records, signs the transcript",,,live
PROVOST,School,2,Head of a college of education,,,live
FACULTY,School,2,A cluster of related departments,,,live
RUSTICATE,School,3,To be sent away from school for a term,,,live
SIWES,School,2,The industrial-training placement,,IT,live
MOCK,School,1,The practice exam before the real one,,,live
GECKO,Animal,1,Pale wall lizard that hunts at night,,,live
CHAMELEON,Animal,3,"Changes colour, walks like it's thinking",,,live
SCORPION,Animal,2,"Sting in the tail, hides in firewood",,,live
MILLIPEDE,Animal,3,Curls into a coil when touched,,,live
EARTHWORM,Animal,3,Comes up when the rain soaks the ground,,,live
HORNBILL,Animal,3,Big-beaked forest bird,,,live
EGRET,Animal,1,White bird that follows the cattle,,,live
GUINEAFOWL,Animal,3,"Speckled bird, wilder cousin of the chicken",,,live
SIEVE,Home,1,Strains the pap and the bean skins,,,live
COLANDER,Home,3,Perforated bowl for draining rice,,,live
FLASK,Home,1,Keeps the hot water for the tea,,,live
KETTLE,Home,2,"Boils water, also used for ablution",,,live
LADLE,Home,1,Deep spoon for serving soup,,,live
GRATER,Home,2,Shreds the cassava or the coconut,,,live
DUSTBIN,Home,2,Where the wrapper and peels go,,,live
CUPBOARD,Home,2,Holds the plates and the garri,,,live
BARGAIN,Market,2,The back-and-forth over the price,,,live
WHOLESALE,Market,3,Buying by the carton to resell,,,live
RETAIL,Market,2,Selling one or two at a time,,,live
CARTON,Market,2,The box things come packed in,,,live
DOZEN,Market,1,Twelve - or 'give me half',,,live
BALE,Market,1,A pressed bundle of okrika clothes,,,live
BATA,Sound,1,Set of talking drums for Sango worship,,,live
OMELE,Sound,2,The small support drum in the ensemble,,,live
AGOGO,Sound,2,Hand-held metal bell struck for rhythm,,,live
SUBTITLE,Screen,2,Text at the bottom for the Yoruba film,,,live
REMAKE,Screen,2,Shooting an old classic again,,,live
TRAILER,Screen,2,The teaser that drops before the film,,,live
BOXOFFICE,Screen,3,What the cinema run earns,,,live
TENANT,People,2,Pays the landlord and prays the rent holds,,,live
CARETAKER,People,3,Manages the compound for an absent owner,,,live
MECHANIC,People,2,Works under the car at the roadside,,MEKANIK,live
VULCANIZER,People,3,Patches and pumps your flat tyre,,,live
TAILOR,People,1,Sews your aso ebi - 'come tomorrow',,,live
KINSMAN,People,2,A man of your extended family or town,,,live
SEMO,Chop,1,Smooth swallow made from semolina,,,live
WARA,Chop,2,"Soft Fulani cheese, fried golden",,,live
NUNU,Chop,2,"Fulani fermented milk, sold in a calabash",,,live
FURA,Chop,2,Millet dough balls stirred into nunu,,,live
MASA,Chop,2,Spongy northern rice cakes,,MASSA,live
KOSAI,Chop,2,The North's word for akara,,,live
TUWO,Chop,2,Northern swallow of rice or corn,,,live
KUKA,Chop,2,Baobab-leaf soup from up North,,,live
ADALU,Chop,2,Beans and corn cooked in one pot,,,live
EKURU,Chop,2,Plain white steamed bean pudding,,,live
OJOJO,Chop,2,"Water-yam fritters, Yoruba",,,live
IKOKORE,Chop,3,Ijebu water-yam pottage,,,live
STARCH,Chop,2,"Warri's orange swallow, eaten with banga",,,live
PITO,Chop,2,Fermented cereal drink of the Middle Belt,,,live
UDARA,Chop,2,Igbo name for the star apple,,,live
OGIRI,Chop,2,Pungent fermented condiment for soup,,,live
ATAMA,Chop,2,Aromatic leaf that flavours banga soup,,,live
KAIKAI,Chop,2,"Raw local gin, cousin to ogogoro",,,live
PALMOIL,Chop,1,"Red oil, the base of nearly every pot",,,live
GALA,Chop,1,Sausage roll bought through the car window,,,live
KPEKERE,Chop,2,Crunchy plantain chips in a nylon,,,live
EDIKAIKONG,Chop,3,Rich Efik soup thick with vegetables,,,live
KANO,Streets,1,The North's biggest commercial city,,,live
WARRI,Streets,1,Delta city that no dey carry last,,,live
OWERRI,Streets,1,"Imo capital, city of endless hotels",,,live
SOKOTO,Streets,2,"Seat of the Caliphate, far northwest",,,live
MAIDUGURI,Streets,2,Borno capital in the northeast,,,live
ZARIA,Streets,2,Ancient walled city near Kaduna,,,live
BAUCHI,Streets,2,Northeast state and its capital,,,live
MINNA,Streets,2,Niger State capital on the rail line,,,live
ASABA,Streets,1,Delta capital across the Niger from Onitsha,,,live
AWKA,Streets,2,"Anambra capital, town of blacksmiths",,,live
NNEWI,Streets,2,Anambra's auto-parts manufacturing town,,,live
OJUELEGBA,Streets,2,Lagos junction Fela made famous,,,live
OBALENDE,Streets,2,Lagos Island motor park and buka strip,,,live
NYANYA,Streets,2,Satellite town on the Abuja-Keffi road,,,live
KUBWA,Streets,2,Big Abuja suburb on the Kaduna road,,,live
WUSE,Streets,2,Abuja district with the big market,,,live
MAITAMA,Streets,2,Abuja's embassy and old-money district,,,live
EXPRESSWAY,Streets,2,The wide road everybody just calls 'express',,,live
FLYOVER,Streets,1,The bridge that lifts you over the go-slow,,,live
